Uncurated-gene-id	Uncurated-gene-uniprot-id	Uncurated-gene-synonims	Biocyc-gene-sinomys	Pathway-Biocyc-label	Pathway-Biocyc-id	Reaction-Biocyc-label	Reaction-Biocyc-id	EV-COMP-HINF-SEQ-ORTHOLOGY	EV-EXP-IDA-UNPURIFIED-PROTEIN-NH	EV-EXP-IDA-PART-PURIFIED-PROTEIN-HH	EV-EXP-TAS	EV-EXP-IDA-PURIFIED-PROTEIN	EV-AS-TAS	EV-EXP-IDA-PURIFIED-PROTEIN-NH	EV-COMP-HINF-ORTHOLOGY-EXP	EV-EXP-IDA-PURIFIED-PROTEIN-HH	EV-COMP-HINF-FN-FROM-SEQ	EV-COMP-AINF	EV-EXP-IDA-UNPURIFIED-PROTEIN	EV-EXP-IMP	EV-EXP-IMP-REACTION-ENHANCED	EV-EXP-IMP-REACTION-BLOCKED	EV-EXP-IDA-PART-PURIFIED-PROTEIN-NH	EV-EXP-IPI	EV-EXP-IGI-FUNC-COMPLEMENTATION	EV-EXP-IDA	EV-EXP-IDA-UNPURIFIED-PROTEIN-HH
TSPAN31	Q12999	['TSPAN31', 'SAS']	['NANS', 'SAS']	CMP-N-acetylneuraminate biosynthesis I (eukaryotes)	PWY-6138	RXN-9988,N-ACETYLNEURAMINATE-SYNTHASE-RXN	RXN-9988,N-ACETYLNEURAMINATE-SYNTHASE-RXN			RXN-9988																	
PDIA2	Q13087	['PDIA2', 'PDIP']	['PDIA2', 'PDIR', 'PDA2', 'PDI', 'ARHGDIG', 'PDIP']			DISULISOM-RXN,5.3.4.1-RXN	DISULISOM-RXN,5.3.4.1-RXN																				
G3BP1	Q13283	['G3BP1', 'G3BP']	['G3BP1', 'G3BP']			RXN0-4261	RXN0-4261																				
PTK7	Q13308	['PTK7', 'CCK4']	['PTK7', 'CCK4']			2.7.10.1-RXN	2.7.10.1-RXN																				
CDK5R2	Q13319	['CDK5R2', 'NCK5AI']	['CDK5R2', 'NCK5AI']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
PPIG	Q13427	['PPIG']	['PPIG', 'CARS-Cyp', 'SRCyp', 'CYP']			PEPTIDYLPROLYL-ISOMERASE-RXN	PEPTIDYLPROLYL-ISOMERASE-RXN																				
TNK1	Q13470	['TNK1']	['TNK1']			2.7.10.1-RXN	2.7.10.1-RXN																				
PRPF4B	Q13523	['PRPF4B', 'KIAA0536', 'PRP4', 'PRP4H', 'PRP4K']	['PRPF4B', 'KIAA0536', 'PRP4', 'PRP4H', 'PRP4K']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
DNASE1L3	Q13609	['DNASE1L3', 'DHP2', 'DNAS1L3']	['DNASE1L3', 'DHP2', 'DNAS1L3']			3.1.21.1-RXN	3.1.21.1-RXN																				
ALKBH1	Q13686	['ALKBH1', 'ABH', 'ABH1', 'ALKBH']	['ALKBH1', 'alkB', 'ABH', 'ALKBH']			RXN-12353,RXN0-984,RXN0-985,RXN0-986	RXN-12353,RXN0-984,RXN0-985,RXN0-986																				
PDE6H	Q13956	['PDE6H']	['PDE6H']			35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN,3.1.4.17-RXN	35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN,3.1.4.17-RXN																				
FASTK	Q14296	['FASTK']	['FASTK', 'FLJ13079', 'FAST']			2.7.11.8-RXN	2.7.11.8-RXN																				
DHX8	Q14562	['DHX8', 'DDX8']	['DHX8', 'DDX8']			RXN-11109	RXN-11109																				
MELK	Q14680	['MELK', 'KIAA0175']	['MELK', 'KIAA0175']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
NAA25	Q14CX7	['NAA25', 'C12orf30', 'MDM20', 'NAP1']	['NAA25', 'C12orf30', 'NAP1', 'MDM20']	N-end rule pathway I (eukaryotic)	PWY-7799	RXN-17853,RXN-17852,RXN-17851,RXN-17850	RXN-17853,RXN-17852,RXN-17851,RXN-17850															RXN-17853,RXN-17852,RXN-17851,RXN-17850					
PTPRCAP	Q14761	['PTPRCAP', 'LPAP']	['ACP6', 'ACPL1', 'LPAP', 'UNQ205/PRO231']			ACID-PHOSPHATASE-RXN	ACID-PHOSPHATASE-RXN																				
PON2	Q15165	['PON2']	['PON2']			RXN-8746,RXN-8743,ARYLESTERASE-RXN,ARYLDIALKYLPHOSPHATASE-RXN,Aminoparathion hydrolase,ARYLDIALKYL-PHOSPHATASE-RXN	RXN-8746,RXN-8743,ARYLESTERASE-RXN,ARYLDIALKYLPHOSPHATASE-RXN,AMINOPARATHION-PHOSPHATASE-RXN,ARYLDIALKYL-PHOSPHATASE-RXN																				
CDK10	Q15131	['CDK10']	['CDK10', 'HS02463', 'PISSLRE']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
STK38	Q15208	['STK38', 'NDR1']	['STK38', 'NDR1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
PTPRR	Q15256	['PTPRR', 'ECPTP', 'PTPRQ']	['PTPRR', 'ECPTP', 'PTPRQ']			PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
PPP2R4	Q15257	['PPP2R4', 'PTPA']	['PTPRA', 'PTPA', 'PTPRL2']			PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
PTPN14	Q15678	['PTPN14', 'PEZ', 'PTPD2']	['PTPN14', 'PEZ']			PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
PPP1R7	Q15435	['PPP1R7', 'SDS22']	['PPP1R7', 'SDS22']			3.1.3.16-RXN	3.1.3.16-RXN																				
MAPRE2	Q15555	['MAPRE2', 'RP1']	['STK19', 'G11', 'RP1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
SPEG	Q15772	['SPEG', 'APEG1', 'KIAA1297']	['SPEG', 'APEG1', 'KIAA1297']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
CNGA3	Q16281	['CNGA3', 'CNCG3']	['CNGA3', 'CNCG3']			TRANS-RXN66-557,TRANS-RXN66-559,TRANS-RXN66-1153	TRANS-RXN66-557,TRANS-RXN66-559,TRANS-RXN66-1153											TRANS-RXN66-557,TRANS-RXN66-559,TRANS-RXN66-1153									
ME3	Q16798	['ME3']	['ME3']			1.1.1.39-RXN,MALIC-NADP-RXN	1.1.1.39-RXN,MALIC-NADP-RXN																				
PTPN21	Q16825	['PTPN21', 'PTPD1']	['PTPN21', 'PTPD1']			PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
NKG7	Q16617	['NKG7', 'GIG1']	['TPP1', 'CLN2', 'GIG1', 'UNQ267/PRO304']			3.4.14.10-RXN,3.4.14.9-RXN	3.4.14.10-RXN,3.4.14.9-RXN																				
CDKN3	Q16667	['CDKN3', 'CDI1', 'CIP2', 'KAP']	['CDKN3', 'CDI1', 'CIP2', 'KAP']			PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN																				
CLPP	Q16740	['CLPP']	['CLPP']			3.4.21.92-RXN	3.4.21.92-RXN																				
MEP1A	Q16819	['MEP1A']	['MEP1A', 'PPHA']			3.4.24.18-RXN	3.4.24.18-RXN																				
MEP1B	Q16820	['MEP1B']	['MEP1B']			3.4.24.18-RXN	3.4.24.18-RXN																				
SPHKAP	Q2M3C7	['SPHKAP', 'KIAA1678', 'SKIP']	['INPP5K', 'PPS', 'SKIP']	D-myo-inositol (1,4,5)-trisphosphate degradation,superpathway of inositol phosphate compounds,superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism,1D-myo-inositol hexakisphosphate biosynthesis II (mammalian),D-myo-inositol (1,3,4)-trisphosphate biosynthesis,3-phosphoinositide degradation	PWY-6363,PWY-6371,PWY-6358,PWY-6362,PWY-6364,PWY-6368	3.1.3.56-RXN,RXN-10036,RXN-8730,PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN	3.1.3.56-RXN,RXN-10036,RXN-8730,PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN									3.1.3.56-RXN,PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN											RXN-10036,RXN-8730
HYAL4	Q2M3T9	['HYAL4']	['HYAL4']			RXN-11620	RXN-11620									RXN-11620											
HKDC1	Q2TB90	['HKDC1']	['HKDC1']	superpathway of conversion of glucose to acetyl CoA and entry into the TCA cycle,UDP-N-acetyl-D-galactosamine biosynthesis II,glycolysis,GDP-glucose biosynthesis II	PWY66-407,PWY-5514,PWY66-400,PWY-5661-1	MANNKIN-RXN,GLUCOKIN-RXN,HEXOKINASE-RXN	MANNKIN-RXN,GLUCOKIN-RXN,HEXOKINASE-RXN				HEXOKINASE-RXN					GLUCOKIN-RXN											
ATHL1	Q32M88	['ATHL1']	['PGGHG', 'ATHL1']	procollagen hydroxylation and glycosylation	PWY-7894	3.2.1.107-RXN	3.2.1.107-RXN									3.2.1.107-RXN											
MYLK3	Q32MK0	['MYLK3', 'MLCK']	['MYLK3', 'MLCK']			2.7.11.18-RXN	2.7.11.18-RXN																				
LRRK1	Q38SD2	['LRRK1', 'KIAA1790']	['LRRK1', 'KIAA1790']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
PUS10	Q3MIT2	['PUS10', 'CCDC139', 'DOBI']	['PUS10', 'CCDC139']			TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN																				
MGAT5B	Q3V5L5	['MGAT5B', 'KIAA2008']	['MGAT5B', 'KIAA2008']	complex N-linked glycan biosynthesis (vertebrates)	PWY-7426	2.4.1.155-RXN	2.4.1.155-RXN																				
PARP15	Q460N3	['PARP15', 'BAL3']	['PARP15', 'BAL3']			NAD+-ADP-RIBOSYLTRANSFERASE-RXN	NAD+-ADP-RIBOSYLTRANSFERASE-RXN																				
GNPTAB	Q3T906	['GNPTAB', 'GNPTA', 'KIAA1208']	['GNPTAB', 'GNPTA', 'KIAA1208']			2.7.8.17-RXN	2.7.8.17-RXN																				
CCDC88A	Q3V6T2	['CCDC88A', 'APE', 'GRDN', 'KIAA1212']	['APEX1', 'APE', 'APEX', 'APX', 'HAP1', 'REF1']			RXN0-2601,4.2.99.18-RXN	RXN0-2601,4.2.99.18-RXN																				
MMEL1	Q495T6	['MMEL1', 'MELL1', 'MMEL2', 'NEP2']	['MMEL1', 'MELL1', 'MMEL2', 'NEP2']			3.4.24.11-RXN	3.4.24.11-RXN																				
PLK5	Q496M5	['PLK5', 'PLK5P', 'FG060302']	['PLK5P', 'FG060302', 'PLK5']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
DUSP28	Q4G0W2	['DUSP28']	['DUSP28']			PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN																				
NKAIN1	Q4KMZ8	['NKAIN1', 'FAM77C']	['NKAIN1', 'FAM77C']			3.6.3.9-RXN	3.6.3.9-RXN																				
SLC39A12	Q504Y0	['SLC39A12', 'ZIP12']	['SLC39A12', 'ZIP12']			zinc plasma membrane transport	TRANS-RXN66-565											TRANS-RXN66-565									
SBK1	Q52WX2	['SBK1']	['SBK1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
PDLIM3	Q53GG5	['PDLIM3', 'ALP']	['ASRGL1', 'ALP', 'CRASH']	asparagine degradation	ASPARAGINE-DEG1-PWY-1	3.4.19.5-RXN,ASPARAGHYD-RXN	3.4.19.5-RXN,ASPARAGHYD-RXN					3.4.19.5-RXN															
SETMAR	Q53H47	['SETMAR']	['SETMAR']			HISTONE-LYSINE-N-METHYLTRANSFERASE-RXN	HISTONE-LYSINE-N-METHYLTRANSFERASE-RXN																				
MAP3K19	Q56UN5	['MAP3K19', 'RCK', 'YSK4']	['YSK4', 'RCK']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
TNNI3K	Q59H18	['TNNI3K', 'CARK']	['TNNI3K', 'CARK']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
CMPK2	Q5EBM0	['CMPK2']	['CMPK2']	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,superpathway of pyrimidine ribonucleotides de novo biosynthesis,UTP and CTP de novo biosynthesis,CMP phosphorylation,superpathway of pyrimidine deoxyribonucleoside salvage,pyrimidine deoxyribonucleotide phosphorylation	PWY-7211,PWY0-162,PWY-7176,PWY-7205,PWY-7200,PWY-7197	RXN-12002,RXN-11832,RXN-7913	RXN-12002,RXN-11832,RXN-7913									RXN-12002,RXN-11832											
PPM1J	Q5JR12	['PPM1J', 'PPP2CZ']	['PPM1J', 'PPP2CZ']			3.1.3.16-RXN	3.1.3.16-RXN																				
KCNT1	Q5JUK3	['KCNT1', 'KIAA1422']	['KCNT1', 'KIAA1422']			TRANS-RXN66-557	TRANS-RXN66-557											TRANS-RXN66-557									
UBE2NL	Q5JXB2	['UBE2NL']	['UBE2NL']	protein ubiquitylation	PWY-7511	RXN-15556	RXN-15556																				
CDKL4	Q5MAI5	['CDKL4']	['CDKL4']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
MTHFR	Q5SNX5	['MTHFR']	['MTHFR']	folate transformations I	PWY-2201	1.5.1.20-RXN	1.5.1.20-RXN				1.5.1.20-RXN																
HYI	Q5T013	['HYI', 'HT036', 'SB156']	['HYI', 'HT036', 'SB156']			RXN0-305	RXN0-305																				
IDNK	Q5T6J7	['IDNK', 'C9orf103']	['IDNK', 'C9orf103']			GLUCONOKIN-RXN	GLUCONOKIN-RXN									GLUCONOKIN-RXN											
PIP5KL1	Q5T9C9	['PIP5KL1']	['PIP5KL1']	superpathway of inositol phosphate compounds,D-myo-inositol (1,4,5)-trisphosphate biosynthesis,3-phosphoinositide biosynthesis	PWY-6371,PWY-6351,PWY-6352	2.7.1.68-RXN	2.7.1.68-RXN							2.7.1.68-RXN													
RNASEH2B	Q5TBB1	['RNASEH2B', 'DLEU8']	['RNASEH2B', 'DLEU8']			3.1.26.4-RXN	3.1.26.4-RXN																				
MLK4	Q5TCX8	['MLK4', 'KIAA1804']	['MLK4', 'KIAA1804']			2.7.11.25-RXN	2.7.11.25-RXN																				
TTBK1	Q5TCY1	['TTBK1', 'BDTK', 'KIAA1855']	['TTBK1', 'BDTK', 'KIAA1855']			TAU-PROTEIN-KINASE-RXN,PROTEIN-KINASE-RXN	TAU-PROTEIN-KINASE-RXN,PROTEIN-KINASE-RXN																				
CDC42BPA	Q5VT25	['CDC42BPA', 'KIAA0451']	['CDC42BPA', 'KIAA0451']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
ATP5EP2	Q5VTU8	['ATP5EP2']	['ATP5EP2']			ATPSYN-RXN	ATPSYN-RXN															ATPSYN-RXN					
NKAIN2	Q5VXU1	['NKAIN2', 'FAM77B', 'TCBA1']	['NKAIN2', 'FAM77B', 'TCBA1']			3.6.3.9-RXN	3.6.3.9-RXN																				
DUSP27	Q5VZP5	['DUSP27']	['DUPD1', 'DUSP27']			PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN																				
CES4A	Q5XG92	['CES4A', 'CES8', 'UNQ440/PRO873']	['CES8', 'UNQ440/PRO873']	retinol biosynthesis	PWY-6857	retinyl-palmitate esterase,RXN-10711,RXN-10767,RXN-12252,RXN-12253,all-trans-retinyl-palmitate hydrolase,all-trans retinyl-ester hydrolase,RXNQT-4366,CARBOXYLESTERASE-RXN	RETINYL-PALMITATE-ESTERASE-RXN,RXN-10711,RXN-10767,RXN-12252,RXN-12253,3.1.1.64-RXN,RXN-12575,RXNQT-4366,CARBOXYLESTERASE-RXN																				CARBOXYLESTERASE-RXN
PCNXL4	Q63HM2	['PCNXL4', 'C14orf135', 'FBP2']	['FBP2']	gluconeogenesis	PWY66-399	F16BDEPHOS-RXN	F16BDEPHOS-RXN									F16BDEPHOS-RXN											
FMN1	Q68DA7	['FMN1', 'FMN', 'LD']	['EPM2A', 'MELF', 'EPM2', 'LDE', 'LD']			3.1.3.16-RXN,PROTEIN-TYROSINE-PHOSPHATASE-RXN	3.1.3.16-RXN,PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
DUPD1	Q68J44	['DUPD1', 'DUSP27']	['DUPD1', 'DUSP27']			PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN																				
ERVK-6	Q69383	['ERVK-6', 'ERVK6']	['ERVK6']			3.1.26.4-RXN,3.4.24.55-RXN,3.4.21.83-RXN,3.4.21.92-RXN,3.4.21.87-RXN	3.1.26.4-RXN,3.4.24.55-RXN,3.4.21.83-RXN,3.4.21.92-RXN,3.4.21.87-RXN																				
ERVK-6	Q69384	['ERVK-6', 'ERVK6']	['ERVK6']			3.1.26.4-RXN,3.4.24.55-RXN,3.4.21.83-RXN,3.4.21.92-RXN,3.4.21.87-RXN	3.1.26.4-RXN,3.4.24.55-RXN,3.4.21.83-RXN,3.4.21.92-RXN,3.4.21.87-RXN																				
KCTD11	Q693B1	['KCTD11', 'C17orf36', 'REN']	['REN']			3.4.23.15-RXN	3.4.23.15-RXN																				
PDPK2P	Q6A1A2	['PDPK2P', 'PDPK2']	['PDPK2']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
DUSP13	Q6B8I1	['DUSP13', 'BEDP', 'DUSP13A', 'MDSP']	['DUSP13', 'TMDP']			PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN																				
NXN	Q6DKJ4	['NXN', 'NRX']	['NXN', 'NRX']			1.6.4.4-RXN	1.6.4.4-RXN																				
CDC42BPG	Q6DT37	['CDC42BPG', 'DMPK2']	['CDC42BPG', 'DMPK2']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
TWF2	Q6IBS0	['TWF2', 'PTK9L', 'MSTP011']	['PTK9L', 'A6RP']			2.7.10.1-RXN	2.7.10.1-RXN																				
SULT1C3	Q6IMI6	['SULT1C3']	['SULT1C3']			ALCOHOL-SULFOTRANSFERASE-RXN	ALCOHOL-SULFOTRANSFERASE-RXN																				
STYK1	Q6J9G0	['STYK1', 'NOK']	['STYK1', 'NOK']			2.7.10.1-RXN	2.7.10.1-RXN																				
B4GALNT3	Q6L9W6	['B4GALNT3']	['B4GALNT3']			2.4.1.244-RXN	2.4.1.244-RXN																				
NAA16	Q6N069	['NAA16', 'NARG1L', 'NAT2']	['SAT1', 'AAC2', 'SLC38A1', 'ATA1', 'NAT2', 'SNAT1']			ARYLAMINE-N-ACETYLTRANSFERASE-RXN,2.3.1.118-RXN,sodium coupled glutamine plasma membrane uptake	ARYLAMINE-N-ACETYLTRANSFERASE-RXN,TRANS-RXN66-1255,2.3.1.118-RXN	ARYLAMINE-N-ACETYLTRANSFERASE-RXN																			TRANS-RXN66-1255
CES5A	Q6NT32	['CES5A', 'CES7']	['CES7']	retinol biosynthesis	PWY-6857	retinyl-palmitate esterase,RXN-10711,RXN-12252,RXN-12253,all-trans-retinyl-palmitate hydrolase,all-trans retinyl-ester hydrolase,RXNQT-4366,RXN-10767,CARBOXYLESTERASE-RXN	RETINYL-PALMITATE-ESTERASE-RXN,RXN-10711,RXN-12252,RXN-12253,3.1.1.64-RXN,RXN-12575,RXNQT-4366,RXN-10767,CARBOXYLESTERASE-RXN																				CARBOXYLESTERASE-RXN
MAST2	Q6P0Q8	['MAST2', 'KIAA0807', 'MAST205']	['MAST2', 'KIAA0807', 'MAST205']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
SLC48A1	Q6P1K1	['SLC48A1', 'HRG1']	['SLC48A1', 'HRG1']			TRANS-RXN66-1212	TRANS-RXN66-1212											TRANS-RXN66-1212									
PNCK	Q6P2M8	['PNCK']	['PNCK']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
NEK5	Q6P3R8	['NEK5']	['NEK5']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
PAPD4	Q6PIY7	['PAPD4', 'GLD2']	['PAPD4', 'GLD2']			POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN	POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN																				
USP17L6P	Q6QN14	['USP17L6P', 'USP17C', 'USP17D', 'USP17N']	['USP17L6', 'USP17C', 'USP17D', 'USP17N']			3.4.19.12-RXN	3.4.19.12-RXN																				
PADI6	Q6TGC4	['PADI6', 'PAD6']	['PADI6']	protein citrullination	PWY-4921	PROTEIN-ARGININE-DEIMINASE-RXN	PROTEIN-ARGININE-DEIMINASE-RXN										PROTEIN-ARGININE-DEIMINASE-RXN										
TSSK4	Q6SA08	['TSSK4', 'C14orf20', 'STK22E', 'TSSK5']	['TSSK4', 'C14orf20', 'STK22E', 'TSSK5']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
METAP1D	Q6UB28	['METAP1D', 'MAP1D']	['MAP1D']			3.4.11.18-RXN	3.4.11.18-RXN									3.4.11.18-RXN											
KCNT2	Q6UVM3	['KCNT2', 'SLICK']	['KCNT2', 'SLICK']			TRANS-RXN66-557	TRANS-RXN66-557											TRANS-RXN66-557									
LYZL1	Q6UWQ5	['LYZL1', 'LYC2', 'UNQ648/PRO1278']	['LYZL1', 'LYC2', 'UNQ648/PRO1278']			3.2.1.17-RXN	3.2.1.17-RXN																				
SEZ6L2	Q6UXD5	['SEZ6L2', 'PSK', 'UNQ1903/PRO4349']	['TAOK2', 'KIAA0881', 'MAP3K17', 'PSK', 'PSK1', 'UNQ2971/PRO7431']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
LRIG3	Q6UXM1	['LRIG3', 'LIG3', 'UNQ287/PRO326/PRO335']	['LIG3']			DNA-LIGASE-ATP-RXN,RXN-17917,RXN-17918,RXN-17919	DNA-LIGASE-ATP-RXN,RXN-17917,RXN-17918,RXN-17919																				
DPP8	Q6V1X1	['DPP8', 'DPRP1', 'MSTP097', 'MSTP135', 'MSTP141']	['DPP8', 'DPRP1', 'MSTP097', 'MSTP135', 'MSTP141']			3.4.14.5-RXN	3.4.14.5-RXN																				
GDPD4	Q6W3E5	['GDPD4', 'GDE6', 'UGPQ']	['GDPD4', 'ugpQ', 'GDE6', 'UGPQ']			GLYCPDIESTER-RXN	GLYCPDIESTER-RXN																				
DSTYK	Q6XUX3	['DSTYK', 'KIAA0472', 'RIP5', 'RIPK5', 'SGK496', 'HDCMD38P']	['DSTYK', 'HDCMD38P', 'KIAA0472', 'RIP5', 'RIPK5', 'SGK496']			2.7.11.18-RXN,2.7.11.2-RXN,2.7.12.1-RXN	2.7.11.18-RXN,2.7.11.2-RXN,2.7.12.1-RXN																				
COX6B2	Q6YFQ2	['COX6B2']	['COX6B2']			CYTOCHROME-C-OXIDASE-RXN	CYTOCHROME-C-OXIDASE-RXN																				
AATK	Q6ZMQ8	['AATK', 'AATYK', 'KIAA0641', 'LMR1', 'LMTK1']	['AATK', 'AATYK', 'KIAA0641', 'LMR1', 'LMTK1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
MAP3K15	Q6ZN16	['MAP3K15', 'ASK3']	['MAP3K15']			2.7.11.25-RXN	2.7.11.25-RXN																				
FRRS1	Q6ZNA5	['FRRS1', 'SDFR2', 'SDR2']	['FRRS1', 'SDFR2', 'SDR2']			FERRIC-CHELATE-REDUCTASE-RXN	FERRIC-CHELATE-REDUCTASE-RXN																				
ACP7	Q6ZNF0	['ACP7', 'PAPL', 'PAPL1']	['PAPL']			ACID-PHOSPHATASE-RXN	ACID-PHOSPHATASE-RXN																				
GDPGP1	Q6ZNW5	['GDPGP1', 'C15orf58']	['C15orf58']			RXN-12486	RXN-12486									RXN-12486											
QSOX2	Q6ZRP7	['QSOX2', 'QSCN6L1', 'SOXN']	['QSOX2', 'QSCN6L1', 'SOXN']			THIOL-OXIDASE-RXN	THIOL-OXIDASE-RXN																				
GK5	Q6ZS86	['GK5']	['GK5']	glycerol degradation	PWY-4261	GLYCEROL-KIN-RXN	GLYCEROL-KIN-RXN																				
CYP2G1P	Q6ZSU1	['CYP2G1P', 'CYP2GP1']	['CYP2G1P']	oxidative ethanol degradation III,nicotine degradation IV,nicotine degradation III	PWY66-161,PWY66-201,PWY66-221	RXN66-2,RXN-19034,RXN66-169,RXN66-146,RXN66-61,RXN66-161,UNSPECIFIC-MONOOXYGENASE-RXN,RXN66-163	RXN66-2,RXN-19034,RXN66-169,RXN66-146,RXN66-61,RXN66-161,UNSPECIFIC-MONOOXYGENASE-RXN,RXN66-163												RXN66-2,RXN66-169,RXN66-146,RXN66-61,RXN66-161,RXN66-163								UNSPECIFIC-MONOOXYGENASE-RXN
NEK10	Q6ZWH5	['NEK10']	['NEK10']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
USP31	Q70CQ4	['USP31', 'KIAA1203']	['USP31', 'KIAA1203', 'USP48']			3.4.19.12-RXN	3.4.19.12-RXN																				
RAPH1	Q70E73	['RAPH1', 'ALS2CR18', 'ALS2CR9', 'KIAA1681', 'LPD', 'PREL2', 'RMO1']	['ACSBG1', 'BGM', 'KIAA0631', 'LPD']	arachidonate biosynthesis III (metazoa),gamma-linolenate biosynthesis,fatty acid activation,fatty acid alpha-oxidation,fatty acid alpha-oxidation III,stearate biosynthesis,fatty acid beta-oxidation,fatty acid beta-oxidation (peroxisome)	PWY-7592,PWY-6000,PWY-5143,PWY66-387,PWY66-388,PWY-5972,FAO-PWY,PWY66-391	RXN-9673,RXN-9644,RXN-7904,octanoyl-CoA ligase,RXN-9623,RXN66-484,PHYTANATE--COA-LIGASE-RXN,RXN-13614,straight chain fatty acyl-CoA ligase,straight chain (R)-2-hydroxy fatty acyl-CoA ligase,RXN66-483,3-methyl-branched fatty acyl-CoA ligase,2,3,4-saturated fatty acyl-CoA synthetase	RXN-9673,RXN-9644,RXN-7904,R223-RXN,RXN-9623,RXN66-484,PHYTANATE--COA-LIGASE-RXN,RXN-13614,RXN66-477,RXN66-474,RXN66-483,RXN66-469,ACYLCOASYN-RXN					RXN-7904,RXN-9623															RXN66-484,PHYTANATE--COA-LIGASE-RXN,RXN66-483,RXN66-469,ACYLCOASYN-RXN
MARK2	Q7KZI7	['MARK2', 'EMK1']	['MARK2', 'EMK1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
SSH2	Q76I76	['SSH2', 'KIAA1725', 'SSH2L']	['SSH2', 'KIAA1725', 'SSH2L']			PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN																				
B4GALNT4	Q76KP1	['B4GALNT4']	['B4GALNT4']			2.4.1.244-RXN	2.4.1.244-RXN																				
ERN2	Q76MJ5	['ERN2', 'IRE2']	['ERN2', 'IRE2']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
BOP	Q7L3V2	['BOP', 'C22orf29']	['EYA1', 'BOR', 'BOP']			PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
